query_uid,Job Title,Company,done_at
beefbc6fee,Senior Data Scientist,BaxEnergy,2025-07-11T13:07:41.152962
3dba48a537,"Senior Manager, Data Science",DoubleVerify,2025-07-11T13:07:43.799180
71a4792df8,Ruby-on-Rails Engineer (Turbo/Stimulus/Hotwire),EverAI,2025-07-11T13:07:47.492649
